id;annotator;tablename;position;question;answer
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;0;since 2020 what is the life expectancy for Perempuan in ACEH?;['71.09', '71.16', '71.22', '71.3', '71.34', '71.49', '71.52', '71.55', '71.67', '71.85', '71.91', '71.94', '72.16']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in ACEH in 2020?;['71.91']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2018 for Perempuan?;['71.67']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2017?;['71.55']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2016 for Perempuan?;['71.52']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in ACEH in 2012?;['71.22']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2010?;['71.09']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;from 2020 what is the expected life of Perempuan in SUMATERA BARAT?;['69.58', '69.78', '69.99', '70.2', '70.31', '70.64', '70.65', '70.7', '70.93', '71.29', '71.45', '71.57', '71.89']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in SUMATERA BARAT in Provinsi?;['SUMATERA BARAT']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2022?;['71.89']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2021?;['71.57']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2015 for Perempuan?;['70.64']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in SUMATERA BARAT in 2013?;['70.2']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in SUMATERA BARAT in 2012?;['69.99']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in SUMATERA BARAT in 2011?;['69.78']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan living in JAMBI since 2020?;['71.88', '72.03', '72.18', '72.33', '72.41', '72.54', '72.62', '72.67', '72.8', '72.97', '73.07', '73.19', '73.49']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in Provinsi for Perempuan?;['JAMBI']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2021 for Perempuan?;['73.19']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2020 for Perempuan?;['73.07']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in JAMBI in 2017?;['72.67']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in JAMBI in 2014?;['72.41']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan living in SUMATERA SELATAN since 2020?;['70.34', '70.49', '70.66', '70.83', '70.91', '71.13', '71.16', '71.17', '71.4', '71.63', '71.86', '71.95', '72.29']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in Provinsi for Perempuan?;['SUMATERA SELATAN']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in SUMATERA SELATAN in 2022?;['72.29']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2021?;['71.95']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2020 for Perempuan?;['71.86']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in SUMATERA SELATAN in 2019?;['71.63']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2013?;['70.83']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2012?;['70.66']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2011?;['70.49']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the Perempuan life expectancy in BENGKULU?;['69.81', '69.98', '70.16', '70.32', '70.35', '70.48', '70.49', '70.51', '70.76', '71.13', '71.27', '71.4', '71.68']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in Provinsi for Perempuan?;['BENGKULU']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy of Perempuan in BENGKULU in 2021?;['71.4']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2018?;['70.76']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2017 for Perempuan?;['70.51']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2014 for Perempuan?;['70.35']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;what is the life expectancy in 2013 for Perempuan?;['70.32']
ds0003;Zaki;angka_harapan_hidup_provinsi_indonesia;1;Perempuan life expectancy in 2012?;['70.16']
