id;annotator;tablename;position;question;answer
ds0002;Zaki;inflasi_kota_indonesia;0;from 2020 what is the inflation number of KOTA MEULABOH?;['4.24', '2.07', '6.56']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA MEULABOH in 2022?;['6.56']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2020?;['4.24']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA BANDA ACEH?;['3.46', '2.41', '6.0']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['6.0']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA BANDA ACEH in 2021?;['2.41']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['3.46']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA LHOKSEUMAWE since 2020?;['3.55', '1.97', '5.37']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA LHOKSEUMAWE in 2020?;['3.55']
ds0002;Zaki;inflasi_kota_indonesia;1;from 2020 what is the inflation number of KOTA SIBOLGA?;['2.42', '1.86', '6.43']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['6.43']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA PEMATANG SIANTAR?;['2.78', '2.12', '6.16']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['2.12']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['2.78']
ds0002;Zaki;inflasi_kota_indonesia;1;from 2020 what is the inflation number of KOTA MEDAN?;['1.76', '1.7', '6.1']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA MEDAN in 2021?;['1.7']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['1.76']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA PADANGSIDIMPUAN?;['3.27', '1.49', '6.4']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['6.4']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA GUNUNGSITOLI since 2020?;['5.32', '0.54', '5.74']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA GUNUNGSITOLI in 2022?;['5.74']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA GUNUNGSITOLI in 2021?;['0.54']
ds0002;Zaki;inflasi_kota_indonesia;1;from 2020 what is the inflation number of KOTA PADANG?;['2.12', '1.37', '7.38']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['1.37']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['2.12']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of KOTA BUKITTINGGI?;['2.02', '1.69', '7.76']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['7.76']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['2.02']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of KOTA PEKANBARU?;['2.24', '1.55', '7.04']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of KOTA DUMAI?;['2.88', '1.66', '6.46']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA DUMAI in 2021?;['1.66']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['2.88']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of BUNGO since 2020?;['2.32', '1.65', '6.04']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of BUNGO in 2021?;['1.65']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA JAMBI?;['3.09', '1.67', '6.39']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA JAMBI in 2020?;['3.09']
ds0002;Zaki;inflasi_kota_indonesia;1;from 2020 what is the inflation number of KOTA PALEMBANG?;['1.5', '1.84', '5.95']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA PALEMBANG in 2021?;['1.84']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA LUBUKLINGGAU since 2020?;['1.97', '1.63', '5.83']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2022?;['5.83']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA BENGKULU since 2020?;['0.89', '2.42', '5.92']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA BANDAR LAMPUNG since 2020?;['1.93', '2.13', '5.52']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['5.52']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA METRO since 2020?;['2.53', '2.74', '5.37']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA METRO in 2022?;['5.37']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of TANJUNG PANDAN since 2020?;['2.11', '4.01', '4.17']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of TANJUNG PANDAN in 2021?;['4.01']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of TANJUNG PANDAN in 2020?;['2.11']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of KOTA PANGKAL PINANG?;['0.52', '3.6', '6.07']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2020?;['0.52']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA BATAM since 2020?;['1.12', '2.45', '5.95']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2022?;['5.95']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['2.45']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2020?;['1.12']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of KOTA TANJUNG PINANG?;['1.66', '0.86', '4.96']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of DKI JAKARTA?;['1.59', '1.53', '4.21']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA BOGOR?;['2.18', '1.93', '5.82']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['2.18']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA SUKABUMI since 2020?;['1.84', '1.71', '5.45']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA CIREBON?;['1.16', '1.81', '4.86']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2022?;['4.86']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2021?;['1.81']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA BEKASI since 2020?;['2.81', '1.61', '5.37']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['5.37']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['1.61']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA BEKASI in 2020?;['2.81']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA DEPOK?;['1.78', '1.81', '6.06']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['1.81']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA DEPOK in 2020?;['1.78']
ds0002;Zaki;inflasi_kota_indonesia;1;from 2020 what is the inflation number of KOTA TASIKMALAYA?;['1.61', '1.17', '6.65']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['1.17']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of CILACAP since 2020?;['1.71', '1.88', '6.81']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['1.88']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of CILACAP in 2020?;['1.71']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of PURWOKERTO?;['1.9', '2.18', '6.49']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KUDUS since 2020?;['1.24', '1.59', '6.4']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['6.4']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2020?;['1.24']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA SURAKARTA?;['1.38', '2.58', '7.03']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2021?;['2.58']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA SEMARANG?;['1.48', '1.49', '4.99']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA SEMARANG in 2022?;['4.99']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA SEMARANG in 2021?;['1.49']
ds0002;Zaki;inflasi_kota_indonesia;1;from 2020 what is the inflation number of KOTA TEGAL?;['2.36', '1.53', '6.31']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2022?;['6.31']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2020?;['2.36']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA YOGYAKARTA since 2020?;['1.4', '2.29', '6.49']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2022?;['6.49']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of JEMBER?;['2.08', '2.09', '7.39']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of JEMBER in 2022?;['7.39']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of BANYUWANGI since 2020?;['1.74', '1.59', '6.06']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of SUMENEP?;['2.37', '2.57', '6.32']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['2.57']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA KEDIRI since 2020?;['1.93', '1.64', '5.76']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA KEDIRI in 2020?;['1.93']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA MALANG?;['1.42', '1.75', '6.45']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation of KOTA MALANG in 2022?;['6.45']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['1.75']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['1.42']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate of KOTA PROBOLINGGO?;['1.88', '1.76', '5.45']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['1.76']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of KOTA MADIUN?;['1.86', '2.0', '5.8']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2021?;['2.0']
ds0002;Zaki;inflasi_kota_indonesia;1;what is the inflation rate in 2020?;['1.86']
ds0002;Zaki;inflasi_kota_indonesia;1;since 2020 what is the inflation rate of KOTA TANGERANG?;['1.18', '1.81', '4.56']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2020?;['1.18']
ds0002;Zaki;inflasi_kota_indonesia;1;from 2020 what is the inflation number of KOTA CILEGON?;['2.62', '2.19', '5.86']
ds0002;Zaki;inflasi_kota_indonesia;1;the inflation rate in 2021?;['2.19']
