id;annotator;tablename;position;question;answer
ds0001;Zaki;ipm_provinsi_indonesia;0;from 2010 what is the IPM of SUMATERA UTARA?;['67.09', '67.34', '67.74', '68.36', '68.87', '69.51', '70.0', '70.57', '71.18', '71.74', '71.77', '72.0', '72.71']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA UTARA?;['67.09']
ds0001;Zaki;ipm_provinsi_indonesia;1;the highest IPM in SUMATERA UTARA?;['72.71']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2016?;['70.0']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA UTARA in 2014?;['68.87']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA UTARA in 2013?;['68.36']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA BARAT since 2010?;['67.25', '67.81', '68.36', '68.91', '69.36', '69.98', '70.73', '71.24', '71.73', '72.39', '72.38', '72.65', '73.26']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA BARAT in 2022?;['73.26']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2021?;['72.65']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA BARAT?;['67.25']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['70.73']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2015?;['69.98']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA BARAT in 2014?;['69.36']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2013?;['68.91']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2011?;['67.81']
ds0001;Zaki;ipm_provinsi_indonesia;1;from 2010 what is the IPM of RIAU?;['68.65', '68.9', '69.15', '69.91', '70.33', '70.84', '71.2', '71.79', '72.44', '73.0', '72.71', '72.94', '73.52']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2021?;['72.94']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2019?;['73.0']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of RIAU in 2018?;['72.44']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['71.2']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2010?;['68.65']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of JAMBI since 2010?;['65.39', '66.14', '66.94', '67.76', '68.24', '68.89', '69.62', '69.99', '70.65', '71.26', '71.29', '71.63', '72.14']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of JAMBI in 2018?;['70.65']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['69.62']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in JAMBI?;['65.39']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA SELATAN since 2010?;['64.44', '65.12', '65.79', '66.16', '66.75', '67.46', '68.24', '68.86', '69.39', '70.02', '70.01', '70.24', '70.9']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2021?;['70.24']
ds0001;Zaki;ipm_provinsi_indonesia;1;the highest IPM in SUMATERA SELATAN?;['70.9']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA SELATAN?;['64.44']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['68.24']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA SELATAN in 2015?;['67.46']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA SELATAN?;['64.44']
ds0001;Zaki;ipm_provinsi_indonesia;1;the highest IPM in SUMATERA SELATAN?;['70.9']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2010?;['64.44']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of LAMPUNG?;['63.71', '64.2', '64.87', '65.73', '66.42', '66.95', '67.65', '68.25', '69.02', '69.57', '69.69', '69.9', '70.45']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of LAMPUNG in 2021?;['69.9']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in LAMPUNG?;['63.71']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2016?;['67.65']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2014?;['66.42']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2013?;['65.73']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of KEP. BANGKA BELITUNG since 2010?;['66.02', '66.59', '67.21', '67.92', '68.27', '69.05', '69.55', '69.99', '70.67', '71.3', '71.47', '71.69', '72.24']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2017?;['69.99']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of KEP. BANGKA BELITUNG in 2015?;['69.05']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2012?;['67.21']
ds0001;Zaki;ipm_provinsi_indonesia;1;from 2010 what is the IPM of KEP. RIAU?;['71.13', '71.61', '72.36', '73.02', '73.4', '73.75', '73.99', '74.45', '74.84', '75.48', '75.59', '75.79', '76.46']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2022?;['76.46']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2021?;['75.79']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of KEP. RIAU in 2019?;['75.48']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2018?;['74.84']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in KEP. RIAU?;['71.13']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in KEP. RIAU?;['71.13']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2013?;['73.02']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in KEP. RIAU?;['71.13']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2011?;['71.61']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2010?;['71.13']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of DKI JAKARTA?;['76.31', '76.98', '77.53', '78.08', '78.39', '78.99', '79.6', '80.06', '80.47', '80.76', '80.77', '81.11', '81.65']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2022?;['81.65']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in DKI JAKARTA?;['76.31']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2019?;['80.76']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of DKI JAKARTA in 2017?;['80.06']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2016?;['79.6']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in DKI JAKARTA?;['76.31']
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2012?;['77.53']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2011?;['76.98']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2010?;['76.31']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of JAWA TENGAH?;['66.08', '66.64', '67.21', '68.02', '68.78', '69.49', '69.98', '70.52', '71.12', '71.73', '71.87', '72.16', '72.79']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2022?;['72.79']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of JAWA TENGAH in 2018?;['71.12']
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2017?;['70.52']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in JAWA TENGAH?;['66.08']
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in JAWA TENGAH?;['66.08']
