kota;2022;2021;2020
KOTA MEULABOH;6.56;2.07;4.24
KOTA BANDA ACEH;6;2.41;3.46
KOTA LHOKSEUMAWE;5.37;1.97;3.55
KOTA SIBOLGA;6.43;1.86;2.42
KOTA PEMATANG SIANTAR;6.16;2.12;2.78
KOTA MEDAN;6.1;1.7;1.76
KOTA PADANGSIDIMPUAN;6.4;1.49;3.27
KOTA GUNUNGSITOLI;5.74;0.54;5.32
KOTA PADANG;7.38;1.37;2.12
KOTA BUKITTINGGI;7.76;1.69;2.02
TEMBILAHAN;4.82;1.09;3.3
KOTA PEKANBARU;7.04;1.55;2.24
KOTA DUMAI;6.46;1.66;2.88
BUNGO;6.04;1.65;2.32
KOTA JAMBI;6.39;1.67;3.09
KOTA PALEMBANG;5.95;1.84;1.5
KOTA LUBUKLINGGAU;5.83;1.63;1.97
KOTA BENGKULU;5.92;2.42;0.89
KOTA BANDAR LAMPUNG;5.52;2.13;1.93
KOTA METRO;5.37;2.74;2.53
TANJUNG PANDAN;4.17;4.01;2.11
KOTA PANGKAL PINANG;6.07;3.6;0.52
KOTA BATAM;5.95;2.45;1.12
KOTA TANJUNG PINANG;4.96;0.86;1.66
DKI JAKARTA;4.21;1.53;1.59
KOTA BOGOR;5.82;1.93;2.18
KOTA SUKABUMI;5.45;1.71;1.84
KOTA BANDUNG;7.45;1.65;1.75
KOTA CIREBON;4.86;1.81;1.16
KOTA BEKASI;5.37;1.61;2.81
KOTA DEPOK;6.06;1.81;1.78
KOTA TASIKMALAYA;6.65;1.17;1.61
CILACAP;6.81;1.88;1.71
PURWOKERTO;6.49;2.18;1.9
KUDUS;6.4;1.59;1.24
KOTA SURAKARTA;7.03;2.58;1.38
KOTA SEMARANG;4.99;1.49;1.48
KOTA TEGAL;6.31;1.53;2.36
KOTA YOGYAKARTA;6.49;2.29;1.4
JEMBER;7.39;2.09;2.08
BANYUWANGI;6.06;1.59;1.74
SUMENEP;6.32;2.57;2.37
KOTA KEDIRI;5.76;1.64;1.93
KOTA MALANG;6.45;1.75;1.42
KOTA PROBOLINGGO;5.45;1.76;1.88
KOTA MADIUN;5.8;2;1.86
KOTA SURABAYA;6.59;2.71;1.33
KOTA TANGERANG;4.56;1.81;1.18
KOTA CILEGON;5.86;2.19;2.62
KOTA SERANG;7.22;2.23;1.91
SINGARAJA;4.63;2.39;2.48
KOTA DENPASAR;6.44;2.01;0.55
KOTA MATARAM;6.18;2.28;0.58
KOTA BIMA;6.39;1.57;0.64
WAINGAPU;3.54;1.28;1.51
MAUMERE;6.25;0.55;2.24
KOTA KUPANG;7.07;1.86;0.29
SINTANG;6.5;1.88;4.68
KOTA PONTIANAK;6.35;1.16;2.11
KOTA SINGKAWANG;5.96;2.55;2.72
SAMPIT;5.99;4.62;1.62
KOTA PALANGKA RAYA;6.51;2.58;0.71
KOTA BARU;8.65;2.68;1.44
TANJUNG;5.01;2.43;2.05
KOTA BANJARMASIN;6.98;2.54;1.67
KOTA BALIKPAPAN;5.51;2.28;0.65
KOTA SAMARINDA;5.22;2.05;0.86
TANJUNG SELOR;7.98;2.33;1.96
KOTA TARAKAN;3.93;2.83;1.15
KOTA MANADO;4;2.65;-0.18
KOTA KOTAMOBAGU;6.03;2.51;3.67
LUWUK;6.62;2.48;0.83
KOTA PALU;5.81;2.14;1.81
BULUKUMBA;4.12;2.16;2.3
WATAMPONE;5.52;2.26;1.89
KOTA MAKASSAR;5.81;2.26;2.13
KOTA PARE-PARE;6.66;4.09;1.61
KOTA PALOPO;5.13;2.96;1.21
KOTA KENDARI;7.11;3.05;1.37
KOTA BUA-BAU;8.35;1.05;1.25
KOTA GORONTALO;5.15;2.59;0.81
MAMUJU;4.85;4.39;1.78
KOTA AMBON;6.39;4.05;0.09
KOTA TUAL;4.52;3.45;2.06
KOTA TERNATE;3.37;2.38;2.13
MANOKWARI;6.06;3.39;-0.89
KOTA SORONG;3.26;3.49;1.17
MERAUKE;4.9;1.68;1.06
TIMIKA;5.93;2.09;4.12
KOTA JAYAPURA;5.81;1.7;0.75
INDONESIA;5.51;1.87;1.68
