id;annotator;tablename;position;question;answer;answer_coord;float_value;agg_function;table_loc
ds0001;Zaki;ipm_provinsi_indonesia;0;from 2010 what is the IPM of SUMATERA UTARA?;['67.09', '67.34', '67.74', '68.36', '68.87', '69.51', '70.0', '70.57', '71.18', '71.74', '71.77', '72.0', '72.71'];[(0, 13), (1, 12), (1, 11), (1, 10), (1, 9), (1, 8), (0, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)];;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA UTARA?;['67.09'];[(0, 13)];67.09;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the highest IPM in SUMATERA UTARA?;['72.71'];[(1, 1)];72.71;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2016?;['70.0'];[(0, 7)];70.0;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA UTARA in 2014?;['68.87'];[(1, 9)];68.87;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA UTARA in 2013?;['68.36'];[(1, 10)];68.36;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA BARAT since 2010?;['67.25', '67.81', '68.36', '68.91', '69.36', '69.98', '70.73', '71.24', '71.73', '72.39', '72.38', '72.65', '73.26'];[(2, 13), (0, 11), (1, 10), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1)];;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA BARAT in 2022?;['73.26'];[(2, 1)];73.26;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2021?;['72.65'];[(2, 2)];72.65;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA BARAT?;['67.25'];[(2, 13)];67.25;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['70.73'];[(2, 7)];70.73;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2015?;['69.98'];[(2, 8)];69.98;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA BARAT in 2014?;['69.36'];[(2, 9)];69.36;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2013?;['68.91'];[(2, 10)];68.91;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2011?;['67.81'];[(0, 11)];67.81;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;from 2010 what is the IPM of RIAU?;['68.65', '68.9', '69.15', '69.91', '70.33', '70.84', '71.2', '71.79', '72.44', '73.0', '72.71', '72.94', '73.52'];[(3, 13), (3, 12), (3, 11), (3, 10), (3, 9), (3, 8), (3, 7), (3, 6), (3, 5), (3, 4), (1, 1), (3, 2), (3, 1)];;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2021?;['72.94'];[(3, 2)];72.94;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2019?;['73.0'];[(3, 4)];73.0;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of RIAU in 2018?;['72.44'];[(3, 5)];72.44;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['71.2'];[(3, 7)];71.2;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2010?;['68.65'];[(3, 13)];68.65;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of JAMBI since 2010?;['65.39', '66.14', '66.94', '67.76', '68.24', '68.89', '69.62', '69.99', '70.65', '71.26', '71.29', '71.63', '72.14'];[(4, 13), (4, 12), (4, 11), (4, 10), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (4, 1)];;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of JAMBI in 2018?;['70.65'];[(4, 5)];70.65;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['69.62'];[(4, 7)];69.62;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in JAMBI?;['65.39'];[(4, 13)];65.39;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA SELATAN since 2010?;['64.44', '65.12', '65.79', '66.16', '66.75', '67.46', '68.24', '68.86', '69.39', '70.02', '70.01', '70.24', '70.9'];[(5, 13), (5, 12), (5, 11), (5, 10), (5, 9), (5, 8), (4, 9), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (5, 1)];;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2021?;['70.24'];[(5, 2)];70.24;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the highest IPM in SUMATERA SELATAN?;['70.9'];[(5, 1)];70.9;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA SELATAN?;['64.44'];[(5, 13)];64.44;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2016?;['68.24'];[(4, 9)];68.24;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of SUMATERA SELATAN in 2015?;['67.46'];[(5, 8)];67.46;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in SUMATERA SELATAN?;['64.44'];[(5, 13)];64.44;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the highest IPM in SUMATERA SELATAN?;['70.9'];[(5, 1)];70.9;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2010?;['64.44'];[(5, 13)];64.44;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of LAMPUNG?;['63.71', '64.2', '64.87', '65.73', '66.42', '66.95', '67.65', '68.25', '69.02', '69.57', '69.69', '69.9', '70.45'];[(7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1)];;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of LAMPUNG in 2021?;['69.9'];[(7, 2)];69.9;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the lowest IPM in LAMPUNG?;['63.71'];[(7, 13)];63.71;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2016?;['67.65'];[(7, 7)];67.65;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM in 2014?;['66.42'];[(7, 9)];66.42;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2013?;['65.73'];[(7, 10)];65.73;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of KEP. BANGKA BELITUNG since 2010?;['66.02', '66.59', '67.21', '67.92', '68.27', '69.05', '69.55', '69.99', '70.67', '71.3', '71.47', '71.69', '72.24'];[(8, 13), (8, 12), (8, 11), (8, 10), (8, 9), (8, 8), (8, 7), (4, 6), (8, 5), (8, 4), (8, 3), (8, 2), (8, 1)];;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2017?;['69.99'];[(4, 6)];69.99;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;what is the IPM of KEP. BANGKA BELITUNG in 2015?;['69.05'];[(8, 8)];69.05;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
ds0001;Zaki;ipm_provinsi_indonesia;1;the IPM in 2012?;['67.21'];[(8, 11)];67.21;;dataset/bdc-2023/table_csv/ipm_provinsi_indonesia.csv
