iter	Passed	Remaining
0	61	61774
1	111	5563322	152	5078833	205	510674	252	50326
55	300	4976566	341	4838177	388	4821588	430	4744799	467	46301110	506	45583111	558	45985112	615	46701113	664	46780114	707	46471115	744	45768116	785	4543317	827	45129
18	866	44720
19	906	44397
220	956	44571221	1003	44622222	1044	44372323	1090	44362424	1139	44442225	1180	44222226	1223	4408227	1333	46293228	1377	46120229	1428	46173330	1472	46036331	1521	46032332	1563	45817333	1618	45975334	1665	45931335	1712	45844336	1750	45556337	1787	45242338	1826	44997339	1874	44982440	1927	45094441	1962	44769442	2006	44652443	2046	44471444	2090	44367445	2129	44166446	2169	4398747	2160	42842
48	2207	42844
49	2247	42705
50	2288	42576
51	2324	42386
552	2424	43324553	2469	43264554	2510	4313655	2512	42350
56	2561	42370
57	2631	42738
58	2685	42824
59	2734	42833
660	2823	43461661	2877	43536662	2925	43509663	2970	43450664	3020	43455665	3060	43305666	3101	43189667	3143	43081668	3182	42944669	3225	42849770	3264	42710771	3307	42627772	3368	42777773	3413	42715774	3458	42651775	3506	4263176	3511	42094
77	3573	42245
78	3629	42309
79	3688	42415
80	3740	42443
81	3797	42509
82	3847	42503
83	3901	42547
84	3956	42585
85	4005	42567
86	4064	42654
87	4119	42687
88	4181	42797
89	4241	42883
990	4350	43455991	4416	4359092	4435	43259
93	4506	43430
94	4566	43499
995	4668	43963996	4734	44077997	4803	44215998	4867	44298999	4911	44205100	4930	43884
101	4981	43857
102	5041	43902
103	5103	43969
104	5167	44045
105	5220	44025
106	5282	44090
107	5348	44170
1108	5458	446181109	5519	44657110	5549	44444
1111	5657	448591112	5717	448781113	5776	448961114	5841	449561115	5898	449501116	5956	44956117	5980	44705
118	6045	44755
1119	6152	451211120	6216	451571121	6279	451941122	6327	451161123	6410	452871124	6471	453021125	6529	452921126	6575	452001127	6608	45021128	6637	44816
129	6696	44816
1130	6785	45014131	6796	44695
132	6842	44604
133	6883	44487
134	6931	44415
135	6975	44313
136	7019	44216
137	7073	44185
138	7123	44126
139	7192	44180
140	7259	44229
141	7317	44213
1142	7405	443791143	7461	443551144	7521	443511145	7588	443871146	7652	444031147	7701	443331148	7739	442031149	7785	441161150	7821	439761151	7856	438311152	7898	437281153	7936	43597154	7958	43384
155	8003	43300
156	8043	43187
157	8080	43061
158	8118	42940
159	8165	42866
160	8206	42763
161	8248	42667
162	8286	42552
163	8327	42447
164	8369	42353
165	8402	42216
166	8433	42067
1167	8498	42085168	8514	41868
1169	8592	41951170	8601	41701
171	8640	41595
172	8675	41472
173	8714	41367
174	8758	41289
175	8800	41200
176	8834	41079
177	8871	40966
178	8909	40865
179	8951	40777
180	8997	40712
181	9035	40610
182	9073	40507
1183	9146	405631184	9189	404841185	9230	403931186	9273	403181187	9309	402091188	9347	401091189	9384	400051190	9423	399121191	9459	398091192	9497	397121193	9534	396121194	9571	395141195	9607	39408196	9625	39235
197	9665	39149
198	9701	39050
1199	9774	39098200	9786	38903
2201	9855	389322202	9888	38822203	9890	38593
204	9925	38491
205	9957	38379
206	10052	38510
2207	10123	38547208	10137	38368
209	10178	38288
210	10222	38224
211	10261	38143
212	10291	38026
213	10335	37962
214	10369	37862
215	10417	37810
2216	10487	378412217	10525	377562218	10565	376782219	10600	375842220	10640	375042221	10682	37438222	10693	37259
223	10734	37187
224	10774	37112
225	10809	37021
226	10847	36939
227	10886	36862
228	10922	36775
229	10961	36698
230	10994	36599
231	11033	36523
232	11071	36446
233	11111	36372
234	11146	36285
235	11184	36206
236	11224	36135
237	11261	36057
238	11299	35979
239	11341	35915
240	11378	35836
241	11419	35767
242	11461	35706
243	11496	35621
244	11534	35545
245	11576	35483
246	11627	35447
247	11666	35376
248	11702	35296
249	11750	35251
250	11784	35166
251	11822	35093
252	11867	35040
253	11899	34950
254	11939	34880
255	11976	34805
256	12014	34733
257	12058	34679
258	12094	34602
259	12127	34517
260	12161	34432
261	12193	34347
262	12243	34309
263	12278	34232
264	12322	34178
265	12353	34088
266	12388	34010
267	12419	33921
268	12462	33867
269	12499	33793
270	12538	33728
271	12572	33649
272	12609	33579
273	12649	33516
274	12689	33454
275	12726	33385
276	12775	33345
277	12811	33273
278	12853	33215
279	12886	33137
280	12920	33060
281	12952	32977
282	12988	32907
283	13030	32850
284	13068	32786
285	13104	32714
286	13138	32640
287	13172	32564
288	13208	32496
289	13254	32449
290	13293	32389
291	13327	32315
292	13363	32246
293	13395	32168
294	13434	32105
295	13478	32055
296	13511	31981
297	13542	31901
298	13572	31821
299	13604	31744
300	13642	31682
3301	13715	31699302	13726	31576
3303	13793	315793304	13828	315103305	13865	31446306	13877	31326
307	13919	31272
308	13952	31201
309	13986	31132
3310	14058	311463311	14100	310923312	14142	310403313	14177	309723314	14216	309153315	14252	308503316	14296	308033317	14334	307423318	14372	306833319	14406	306133320	14451	305693321	14495	305223322	14533	304613323	14566	303913324	14603	303313325	14636	302613326	14674	302013327	14728	30175
328	14760	30104
329	14798	30045
330	14834	29982
331	14870	299203332	14918	29881
333	14955	298213334	14990	29757
335	15028	29698
336	15060	29630
337	15102	295793338	15146	29533
339	15177	294623340	15207	293883341	15239	293213342	15277	292633343	15321	292173344	15359	291613345	15389	290873346	15428	290333347	15465	289763348	15515	289403349	15565	28907
350	15602	28849
351	15639	28789
352	15677	28734
353	15715	28678
354	15757	28629
355	15800	28583
356	15841	28532
357	15874	28467
358	15909	28406
359	15947	28351
360	15985	28295
361	16023	28240
362	16057	28178
363	16095	28123
364	16139	28079
365	16176	28021
366	16214	27966
367	16245	27899
368	16281	27842
369	16319	27786
370	16357	27732
371	16395	27678
372	16431	27620
373	16466	27561
374	16512	27521
375	16557	27479
376	16598	27429
377	16630	27365
378	16661	27300
379	16697	27243
380	16740	27197
381	16781	27149
382	16818	27093
383	16851	27032
384	16886	26975
385	16935	26938
386	16975	26888
387	17013	26835
388	17052	26785
389	17093	26735
390	17128	26678
391	17171	26633
392	17207	26577
393	17242	26520
394	17275	26460
395	17315	26410
396	17367	26379
397	17403	26323
398	17432	26258
399	17465	26198
400	17497	26137
