iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bytree,param_xgbclassifier__gamma,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__min_child_weight,param_xgbclassifier__reg_alpha,param_xgbclassifier__reg_lambda,param_xgbclassifier__subsample,param_xgbclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,30,22.136591911315918,0.10672171398221168,0.047829055786132814,0.0029456094419193224,0.9684995091420571,3.651330715937309,0.025256597136366094,10,2,0.009658325743468397,5.8486333682097336e-05,0.46426808830740685,30,"{'xgbclassifier__colsample_bytree': 0.9684995091420571, 'xgbclassifier__gamma': 3.651330715937309, 'xgbclassifier__learning_rate': 0.025256597136366094, 'xgbclassifier__max_depth': 10, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__reg_alpha': 0.009658325743468397, 'xgbclassifier__reg_lambda': 5.8486333682097336e-05, 'xgbclassifier__subsample': 0.46426808830740685, 'xgbclassifier__n_estimators': 30}",0.26610135271552593,0.42169595110771574,0.3157894736842105,0.2938066465256798,0.32948517940717625,0.3253757206880616,0.05271892964143286,55,0.6376811594202898,0.6290121356470455,0.6442765833817548,0.6776637341153471,0.6472922502334267,0.6471851725595728,0.016480288878041087
0,30,14.474309349060059,0.018087325512623254,0.04382944107055664,0.0027726952758635255,0.5835307059230563,0.8819357358582953,0.07973997781317664,9,1,0.02199643039546155,0.08484767945290277,0.7486927594804611,30,"{'xgbclassifier__colsample_bytree': 0.5835307059230563, 'xgbclassifier__gamma': 0.8819357358582953, 'xgbclassifier__learning_rate': 0.07973997781317664, 'xgbclassifier__max_depth': 9, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__reg_alpha': 0.02199643039546155, 'xgbclassifier__reg_lambda': 0.08484767945290277, 'xgbclassifier__subsample': 0.7486927594804611, 'xgbclassifier__n_estimators': 30}",0.3171782444803446,0.38874680306905374,0.2896174863387978,0.2931103146156909,0.3349315068493151,0.3247168710706404,0.03603315996738045,56,0.6782503037667073,0.6801264899051325,0.6940344784819547,0.7277221282685054,0.7003138731952291,0.6960894547235058,0.017864748680203494
0,30,23.151914358139038,0.07339450639954379,0.04757189750671387,0.0012777856585102331,0.9622469621108742,4.939474586982913,0.0117517463973309,10,3,3.0377063542694643e-05,7.73131935375949e-05,0.5589126373897145,30,"{'xgbclassifier__colsample_bytree': 0.9622469621108742, 'xgbclassifier__gamma': 4.939474586982913, 'xgbclassifier__learning_rate': 0.0117517463973309, 'xgbclassifier__max_depth': 10, 'xgbclassifier__min_child_weight': 3, 'xgbclassifier__reg_alpha': 3.0377063542694643e-05, 'xgbclassifier__reg_lambda': 7.73131935375949e-05, 'xgbclassifier__subsample': 0.5589126373897145, 'xgbclassifier__n_estimators': 30}",0.2606155044799377,0.40371229698375866,0.3039106145251397,0.28924690895466465,0.3323133414932681,0.3179597332873538,0.04872308045620025,60,0.6077793969285954,0.604462028794373,0.6263086026399636,0.6503388419926287,0.608869623207736,0.6195516987126594,0.017169134553931223
0,30,10.0005521774292,0.09147252802203976,0.037144041061401366,0.002851844248412659,0.6774063298099378,0.004062442694274804,0.04594872151884791,5,2,0.023460933406135653,2.5502152173721385e-05,0.9566854934346185,30,"{'xgbclassifier__colsample_bytree': 0.6774063298099378, 'xgbclassifier__gamma': 0.004062442694274804, 'xgbclassifier__learning_rate': 0.04594872151884791, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__reg_alpha': 0.023460933406135653, 'xgbclassifier__reg_lambda': 2.5502152173721385e-05, 'xgbclassifier__subsample': 0.9566854934346185, 'xgbclassifier__n_estimators': 30}",0.2856536502546689,0.45137614678899085,0.37266132111492933,0.3168946866051543,0.3172774869109947,0.3487726583349476,0.0584641841438374,8,0.4381038374717832,0.42016057091882253,0.4171215665886838,0.4346619809488579,0.43667331038231566,0.4293442532620926,0.008859545275545
0,30,17.689572048187255,0.0635069831915746,0.046994590759277345,0.003163245589778392,0.7475176401325057,3.8864127959033237,0.010180029493265694,10,2,0.0003767739930225995,0.0006870830244711573,0.4702764919068454,30,"{'xgbclassifier__colsample_bytree': 0.7475176401325057, 'xgbclassifier__gamma': 3.8864127959033237, 'xgbclassifier__learning_rate': 0.010180029493265694, 'xgbclassifier__max_depth': 10, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__reg_alpha': 0.0003767739930225995, 'xgbclassifier__reg_lambda': 0.0006870830244711573, 'xgbclassifier__subsample': 0.4702764919068454, 'xgbclassifier__n_estimators': 30}",0.29179740026893763,0.437888198757764,0.32582322357019067,0.3093471810089021,0.344849648112604,0.34194113034367973,0.051089814113333104,37,0.6158673240699238,0.6143703207062242,0.6282051282051282,0.6483216700272803,0.6191880244953505,0.6251904935007814,0.012523311156418774
0,30,26.36054072380066,0.21692751321289855,0.053199148178100585,0.005384306467119179,0.9815757995879999,3.434295518142971,0.0977651415060106,10,2,0.001051146063510628,0.00025216953900423047,0.6930263381217954,30,"{'xgbclassifier__colsample_bytree': 0.9815757995879999, 'xgbclassifier__gamma': 3.434295518142971, 'xgbclassifier__learning_rate': 0.0977651415060106, 'xgbclassifier__max_depth': 10, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__reg_alpha': 0.001051146063510628, 'xgbclassifier__reg_lambda': 0.00025216953900423047, 'xgbclassifier__subsample': 0.6930263381217954, 'xgbclassifier__n_estimators': 30}",0.2738731040375988,0.36080586080586086,0.25615763546798026,0.2705394190871369,0.34074605451936874,0.3004244147835891,0.042022342809049665,64,0.7526824744999338,0.7571238348868177,0.7751535836177474,0.7987624806637603,0.7746690323461171,0.7716782812028753,0.01629262876011815
0,30,19.729963731765746,0.14912478913209756,0.05046100616455078,0.004918384789620759,0.7727559129051416,0.21221302958441135,0.19281164561369957,9,2,0.017103644009909193,0.04522221388782687,0.8026413959888343,30,"{'xgbclassifier__colsample_bytree': 0.7727559129051416, 'xgbclassifier__gamma': 0.21221302958441135, 'xgbclassifier__learning_rate': 0.19281164561369957, 'xgbclassifier__max_depth': 9, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__reg_alpha': 0.017103644009909193, 'xgbclassifier__reg_lambda': 0.04522221388782687, 'xgbclassifier__subsample': 0.8026413959888343, 'xgbclassifier__n_estimators': 30}",0.2832292595896521,0.32068311195445914,0.25935596170583114,0.2635529608006672,0.3504023408924653,0.295444726988615,0.035002904952836554,66,0.7697529188161824,0.7913588850174215,0.8112426879726067,0.808037622915776,0.7906458797327394,0.7942075988909452,0.014834393928985966
0,30,10.722593879699707,0.23157139432463142,0.04206938743591308,0.010211757202686186,0.6000269630661709,0.35699870945167844,0.0377335526174433,7,1,0.00010291237355210348,0.001019438439245925,0.46542799465389584,30,"{'xgbclassifier__colsample_bytree': 0.6000269630661709, 'xgbclassifier__gamma': 0.35699870945167844, 'xgbclassifier__learning_rate': 0.0377335526174433, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__reg_alpha': 0.00010291237355210348, 'xgbclassifier__reg_lambda': 0.001019438439245925, 'xgbclassifier__subsample': 0.46542799465389584, 'xgbclassifier__n_estimators': 30}",0.3022552894675657,0.4586415601882986,0.33967517401392106,0.3152643831060858,0.3211188811188811,0.3473910575789504,0.056913613875171916,13,0.5053541605265743,0.4915484748397124,0.49543245869776475,0.5166598107774578,0.5052506439468991,0.5028491097576817,0.008780537238326006
0,30,8.935392904281617,0.04548340987526956,0.03551115989685059,0.002986536981149073,0.7597786104497248,1.150681810016904,0.04381815734660207,4,2,0.0015844489596691723,1.7045585972002637e-05,0.9185411633838407,30,"{'xgbclassifier__colsample_bytree': 0.7597786104497248, 'xgbclassifier__gamma': 1.150681810016904, 'xgbclassifier__learning_rate': 0.04381815734660207, 'xgbclassifier__max_depth': 4, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__reg_alpha': 0.0015844489596691723, 'xgbclassifier__reg_lambda': 1.7045585972002637e-05, 'xgbclassifier__subsample': 0.9185411633838407, 'xgbclassifier__n_estimators': 30}",0.28780697975010766,0.430715935334873,0.3792134831460674,0.3248388087196807,0.30646817248459957,0.34580867588706565,0.052300537562609335,20,0.4133534047640131,0.39563674140767036,0.3869471591850257,0.40682508486689295,0.409571216487643,0.40246672134224903,0.009751866439489946
0,30,18.666953802108765,0.10155367385594757,0.04494481086730957,0.010820620380045175,0.8359863884308767,5.1367923819162264,0.10033704657332329,8,2,1.4885859939164335e-05,0.003926960498761482,0.8367202109405025,30,"{'xgbclassifier__colsample_bytree': 0.8359863884308767, 'xgbclassifier__gamma': 5.1367923819162264, 'xgbclassifier__learning_rate': 0.10033704657332329, 'xgbclassifier__max_depth': 8, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__reg_alpha': 1.4885859939164335e-05, 'xgbclassifier__reg_lambda': 0.003926960498761482, 'xgbclassifier__subsample': 0.8367202109405025, 'xgbclassifier__n_estimators': 30}",0.28015234870926786,0.4157303370786517,0.30900723208415515,0.30337504740235116,0.3303153293787075,0.32771605893062666,0.0468147005522677,54,0.6250856751199452,0.6231933538181403,0.6302405498281787,0.657221097749732,0.6343724649437942,0.6340226282919581,0.012245307721739415
